City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Namatanai,PG,-3.6667,152.4333,83.89,71,90,5.99,light rain
79,Barrow,US,71.2906,-156.7887,48.22,93,90,11.5,light rain
80,Camopi,GF,3.1655,-52.3158,70.97,99,21,1.59,few clouds
81,Katobu,ID,-4.9408,122.5276,85.08,60,92,2.48,overcast clouds
82,Lebu,CL,-37.6167,-73.65,48.81,88,34,14.7,scattered clouds
83,Kavieng,PG,-2.5744,150.7967,83.82,72,72,7.14,light rain
84,Ahipara,NZ,-35.1667,173.1667,59.4,72,100,14.25,overcast clouds
85,Lodja,CD,-3.4833,23.4333,73.42,38,90,1.39,overcast clouds
86,Cherskiy,RU,68.75,161.3,40.73,94,100,12.93,overcast clouds
87,Coquimbo,CL,-29.9533,-71.3436,47.93,93,90,5.75,overcast clouds
88,Daru,PG,-9.0763,143.2092,76.14,94,100,17.02,moderate rain
89,Petropavlovka,RU,50.6114,105.3196,72.36,55,2,2.19,clear sky
90,Careiro Da Varzea,BR,-3.2003,-59.8119,77.61,66,12,3.65,light rain
91,Khatanga,RU,71.9667,102.5,84.24,28,3,18.97,clear sky
92,Guerrero Negro,MX,27.9769,-114.0611,72.36,80,25,9.89,scattered clouds
93,Mahebourg,MU,-20.4081,57.7,70.09,73,75,11.5,broken clouds
94,Meulaboh,ID,4.1363,96.1285,79.12,87,100,8.23,overcast clouds
95,Xingcheng,CN,40.6167,120.7167,77.02,87,98,5.5,overcast clouds
96,Tigil,RU,57.8,158.6667,61.66,55,86,12.41,overcast clouds
97,Kodiak,US,57.79,-152.4072,54.12,85,100,5.17,overcast clouds
98,Qaanaaq,GL,77.484,-69.3632,41.25,92,95,1.03,overcast clouds
99,Ciudad Real,ES,39.0,-4.0,67.1,61,0,1.99,clear sky
100,Sur,OM,22.5667,59.5289,90.7,55,85,11.95,overcast clouds
101,Puri,IN,19.8,85.85,84.72,73,100,15.39,light rain
102,Berlevag,NO,70.8578,29.0864,47.59,87,100,10.83,overcast clouds
103,Sioux City,US,42.5,-96.4003,64.65,76,90,1.99,haze
104,Fairbanks,US,64.8378,-147.7164,73.4,56,1,0.0,clear sky
105,Malkangiri,IN,18.35,81.9,80.35,77,100,8.28,overcast clouds
106,Victoria,HK,22.2855,114.1577,91.96,78,91,7.0,overcast clouds
107,Dinan,FR,48.4167,-2.25,57.52,82,99,7.58,overcast clouds
108,Kruisfontein,ZA,-34.0033,24.7314,50.72,69,0,5.17,clear sky
109,Labuhan,ID,-6.8844,112.2051,86.13,59,0,7.45,clear sky
110,East London,ZA,-33.0153,27.9116,58.3,48,1,3.58,clear sky
