City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Berlevag,NO,2021-07-29 23:38:38,70.8578,29.0864,44.04,87,100,4.56
68,Adrar,MR,2021-07-29 23:41:22,20.5022,-10.0711,89.53,33,44,16.91
69,Clyde River,CA,2021-07-29 23:39:51,70.4692,-68.5914,41.23,93,75,14.97
70,Hermanus,ZA,2021-07-29 23:37:51,-34.4187,19.2345,51.91,82,10,6.73
71,Mae Sai,TH,2021-07-29 23:41:23,20.4335,99.8762,78.12,99,100,1.45
72,Evensk,RU,2021-07-29 23:38:09,61.95,159.2333,47.98,67,100,9.98
73,Cape Town,ZA,2021-07-29 23:33:53,-33.9258,18.4232,53.1,90,0,4.61
74,Vaini,TO,2021-07-29 23:37:39,-21.2,-175.2,77.16,78,40,9.22
75,Hofn,IS,2021-07-29 23:39:05,64.2539,-15.2082,52.92,90,80,3.8
76,New Norfolk,AU,2021-07-29 23:35:16,-42.7826,147.0587,52.92,74,100,1.99
77,Safaga,EG,2021-07-29 23:41:24,26.7292,33.9365,89.55,34,99,8.03
78,Sayansk,RU,2021-07-29 23:41:24,54.1088,102.1648,52.57,88,100,6.08
79,Longyearbyen,SJ,2021-07-29 23:34:02,78.2186,15.6401,44.44,70,75,1.14
80,Guerrero Negro,MX,2021-07-29 23:39:50,27.9769,-114.0611,76.69,67,8,21.27
81,Mahanoro,MG,2021-07-29 23:41:25,-19.9,48.8,68.23,89,80,4.5
82,Itupiranga,BR,2021-07-29 23:41:25,-5.1347,-49.3267,78.58,51,4,1.39
83,Hambantota,LK,2021-07-29 23:41:25,6.1241,81.1185,79.65,82,51,18.9
84,Chokurdakh,RU,2021-07-29 23:37:47,70.6333,147.9167,48.04,49,93,6.15
85,Mar Del Plata,AR,2021-07-29 23:38:29,-38.0023,-57.5575,52.09,87,0,1.01
86,Cabedelo,BR,2021-07-29 23:41:26,-6.9811,-34.8339,75.87,80,39,13.2
87,Lompoc,US,2021-07-29 23:38:52,34.6391,-120.4579,87.94,73,90,13.8
88,Lucapa,AO,2021-07-29 23:41:27,-8.4192,20.7447,66.27,34,1,4.05
89,Dhidhdhoo,MV,2021-07-29 23:41:27,6.8833,73.1,82.87,72,34,12.01
90,Kashan,IR,2021-07-29 23:41:27,33.9831,51.4364,84.18,33,65,10.51
91,Tabuk,PH,2021-07-29 23:41:28,17.4189,121.4443,77.72,86,100,1.81
92,Lovington,US,2021-07-29 23:41:28,32.944,-103.3485,88.65,36,58,4.0
93,Avarua,CK,2021-07-29 23:37:48,-21.2078,-159.775,78.85,61,75,4.61
94,Christchurch,NZ,2021-07-29 23:37:20,-43.5333,172.6333,57.0,72,36,5.01
95,Qaqortoq,GL,2021-07-29 23:41:29,60.7167,-46.0333,52.3,85,83,1.12
96,East London,ZA,2021-07-29 23:37:51,-33.0153,27.9116,58.23,68,3,7.56
97,Arinos,BR,2021-07-29 23:41:29,-15.9169,-46.1056,66.11,35,1,3.8
98,Ta Khmau,KH,2021-07-29 23:41:29,11.4833,104.95,80.65,78,40,9.22
99,Upernavik,GL,2021-07-29 23:35:10,72.7868,-56.1549,44.96,88,99,3.62
100,Kaitangata,NZ,2021-07-29 23:37:56,-46.2817,169.8464,55.92,74,67,8.59
101,Luderitz,NA,2021-07-29 23:37:44,-26.6481,15.1594,62.69,40,0,7.52
102,Baker City,US,2021-07-29 23:41:30,44.7749,-117.8344,99.16,21,1,10.36
